year,lencat,majgear,R_REV,trev,prev,pshannonrev,pHHIrev,Shannonrev,eShannonrev,HHIrev,fleet_count
1996,30 to < 50,Clam Dredge,1238409.790533066,622319872,.0019899891,.012376988,.039600566,2.1990237,9.0162067,1620.2534,36
1996,75 and above,Hand,59998.09127473831,622319872,.000096410375,.00089149678,.000092949602,2.1990237,9.0162067,1620.2534,36
1996,30 to < 50,Bottom Trawl,31733973.25425974,622319872,.050993025,.15175863,26.002886,2.1990237,9.0162067,1620.2534,36
1996,30 to < 50,Other Dredge,218183.5443350673,622319872,.00035059711,.002789306,.0012291834,2.1990237,9.0162067,1620.2534,36
1996,Less than 30',Longline,495371.9891841412,622319872,.00079600862,.0056802384,.0063362974,2.1990237,9.0162067,1620.2534,36
1996,Less than 30',OTH,243180.9880154133,622319872,.00039076526,.0030664927,.0015269748,2.1990237,9.0162067,1620.2534,36
1996,50 to < 75',Hand,10776.1919567585,622319872,.000017316162,.00018985216,2.9984949e-06,2.1990237,9.0162067,1620.2534,36
1996,30 to < 50,OTH,1481400.5124816,622319872,.0023804486,.01437902,.056665357,2.1990237,9.0162067,1620.2534,36
1996,Less than 30',Pot,2186302.39062503,622319872,.003513149,.019853657,.12342216,2.1990237,9.0162067,1620.2534,36
1996,30 to < 50,Longline,6410013.242496461,622319872,.01030019,.047129478,1.0609392,2.1990237,9.0162067,1620.2534,36
1996,30 to < 50,Gillnet,40633899.57704486,622319872,.065294236,.17817828,42.633373,2.1990237,9.0162067,1620.2534,36
1996,Less than 30',Clam Dredge,547497.5675716996,622319872,.00087976875,.0061899223,.0077399304,2.1990237,9.0162067,1620.2534,36
1996,30 to < 50,Scallop Dredge,4330368.097087175,622319872,.0069584283,.03456809,.48419726,2.1990237,9.0162067,1620.2534,36
1996,Less than 30',Hand,2579748.883455604,622319872,.0041453745,.022740539,.17184129,2.1990237,9.0162067,1620.2534,36
1996,50 to < 75',Clam Dredge,1129612.602063417,622319872,.001815164,.011456552,.032948203,2.1990237,9.0162067,1620.2534,36
1996,30 to < 50,Hand,7920465.012989499,622319872,.012727321,.055542085,1.6198471,2.1990237,9.0162067,1620.2534,36
1996,75 and above,Other Dredge,26724.34834742546,622319872,.000042943106,.00043182017,.000018441104,2.1990237,9.0162067,1620.2534,36
1996,50 to < 75',OTH,4181251.979075983,622319872,.0067188148,.033613179,.45142472,2.1990237,9.0162067,1620.2534,36
1996,Less than 30',Gillnet,403469.6548332572,622319872,.00064833165,.0047594728,.0042033391,2.1990237,9.0162067,1620.2534,36
1996,75 and above,Bottom Trawl,117767756.9954248,622319872,.1892399,.31503519,358.1174,2.1990237,9.0162067,1620.2534,36
1996,50 to < 75',Scallop Dredge,17180822.27912581,622319872,.027607704,.099102281,7.6218529,2.1990237,9.0162067,1620.2534,36
1996,Less than 30',Scallop Dredge,45118.83935546875,622319872,.00007250104,.00069107336,.000052564006,2.1990237,9.0162067,1620.2534,36
