Time,Region,Value,Var,Units
1996,MA,8.35777,Fleet diversity in revenue,effective Shannon
1997,MA,8.8422775,Fleet diversity in revenue,effective Shannon
1998,MA,9.0043097,Fleet diversity in revenue,effective Shannon
1999,MA,8.6536226,Fleet diversity in revenue,effective Shannon
2000,MA,7.9954295,Fleet diversity in revenue,effective Shannon
2001,MA,7.4689245,Fleet diversity in revenue,effective Shannon
2002,MA,7.6386309,Fleet diversity in revenue,effective Shannon
2003,MA,8.7335443,Fleet diversity in revenue,effective Shannon
2004,MA,7.7484994,Fleet diversity in revenue,effective Shannon
2005,MA,7.8044915,Fleet diversity in revenue,effective Shannon
2006,MA,9.5774879,Fleet diversity in revenue,effective Shannon
2007,MA,8.013649,Fleet diversity in revenue,effective Shannon
2008,MA,8.4942427,Fleet diversity in revenue,effective Shannon
2009,MA,8.0327435,Fleet diversity in revenue,effective Shannon
2010,MA,7.2381239,Fleet diversity in revenue,effective Shannon
2011,MA,6.9532385,Fleet diversity in revenue,effective Shannon
2012,MA,7.7668285,Fleet diversity in revenue,effective Shannon
2013,MA,8.7778406,Fleet diversity in revenue,effective Shannon
2014,MA,8.4962864,Fleet diversity in revenue,effective Shannon
2015,MA,9.274456,Fleet diversity in revenue,effective Shannon
2016,MA,9.1425123,Fleet diversity in revenue,effective Shannon
2017,MA,9.212019,Fleet diversity in revenue,effective Shannon
2018,MA,8.7729139,Fleet diversity in revenue,effective Shannon
2019,MA,8.7243185,Fleet diversity in revenue,effective Shannon
2020,MA,9.607192,Fleet diversity in revenue,effective Shannon
2021,MA,9.2108088,Fleet diversity in revenue,effective Shannon
2022,MA,9.5026522,Fleet diversity in revenue,effective Shannon
2023,MA,9.6187525,Fleet diversity in revenue,effective Shannon
2024,MA,10.201694,Fleet diversity in revenue,effective Shannon
