Time,Region,Value,Var,Units
1996,MA,36,Fleet count,number of fleets
1997,MA,34,Fleet count,number of fleets
1998,MA,35,Fleet count,number of fleets
1999,MA,35,Fleet count,number of fleets
2000,MA,32,Fleet count,number of fleets
2001,MA,33,Fleet count,number of fleets
2002,MA,33,Fleet count,number of fleets
2003,MA,36,Fleet count,number of fleets
2004,MA,35,Fleet count,number of fleets
2005,MA,32,Fleet count,number of fleets
2006,MA,33,Fleet count,number of fleets
2007,MA,32,Fleet count,number of fleets
2008,MA,31,Fleet count,number of fleets
2009,MA,32,Fleet count,number of fleets
2010,MA,34,Fleet count,number of fleets
2011,MA,34,Fleet count,number of fleets
2012,MA,34,Fleet count,number of fleets
2013,MA,31,Fleet count,number of fleets
2014,MA,33,Fleet count,number of fleets
2015,MA,30,Fleet count,number of fleets
2016,MA,31,Fleet count,number of fleets
2017,MA,31,Fleet count,number of fleets
2018,MA,31,Fleet count,number of fleets
2019,MA,29,Fleet count,number of fleets
2020,MA,29,Fleet count,number of fleets
2021,MA,30,Fleet count,number of fleets
2022,MA,30,Fleet count,number of fleets
2023,MA,30,Fleet count,number of fleets
2024,MA,30,Fleet count,number of fleets
