Time,Region,Value,Var,Units
1996,NE,36,Fleet count,number of fleets
1997,NE,34,Fleet count,number of fleets
1998,NE,37,Fleet count,number of fleets
1999,NE,35,Fleet count,number of fleets
2000,NE,34,Fleet count,number of fleets
2001,NE,32,Fleet count,number of fleets
2002,NE,33,Fleet count,number of fleets
2003,NE,35,Fleet count,number of fleets
2004,NE,32,Fleet count,number of fleets
2005,NE,31,Fleet count,number of fleets
2006,NE,32,Fleet count,number of fleets
2007,NE,30,Fleet count,number of fleets
2008,NE,31,Fleet count,number of fleets
2009,NE,30,Fleet count,number of fleets
2010,NE,29,Fleet count,number of fleets
2011,NE,31,Fleet count,number of fleets
2012,NE,32,Fleet count,number of fleets
2013,NE,27,Fleet count,number of fleets
2014,NE,29,Fleet count,number of fleets
2015,NE,29,Fleet count,number of fleets
2016,NE,30,Fleet count,number of fleets
2017,NE,30,Fleet count,number of fleets
2018,NE,29,Fleet count,number of fleets
2019,NE,24,Fleet count,number of fleets
2020,NE,26,Fleet count,number of fleets
2021,NE,27,Fleet count,number of fleets
2022,NE,26,Fleet count,number of fleets
2023,NE,26,Fleet count,number of fleets
2024,NE,28,Fleet count,number of fleets
