Time,Region,Value,Var,Units
1996,NE,9.0162067,Fleet diversity in revenue,effective Shannon
1997,NE,8.6967125,Fleet diversity in revenue,effective Shannon
1998,NE,8.9636641,Fleet diversity in revenue,effective Shannon
1999,NE,7.9721823,Fleet diversity in revenue,effective Shannon
2000,NE,7.6445832,Fleet diversity in revenue,effective Shannon
2001,NE,7.6225996,Fleet diversity in revenue,effective Shannon
2002,NE,7.3421178,Fleet diversity in revenue,effective Shannon
2003,NE,7.0057716,Fleet diversity in revenue,effective Shannon
2004,NE,6.4175549,Fleet diversity in revenue,effective Shannon
2005,NE,6.7831669,Fleet diversity in revenue,effective Shannon
2006,NE,7.2101669,Fleet diversity in revenue,effective Shannon
2007,NE,6.634069,Fleet diversity in revenue,effective Shannon
2008,NE,6.8253751,Fleet diversity in revenue,effective Shannon
2009,NE,6.4959536,Fleet diversity in revenue,effective Shannon
2010,NE,5.7801023,Fleet diversity in revenue,effective Shannon
2011,NE,5.5743589,Fleet diversity in revenue,effective Shannon
2012,NE,5.6740446,Fleet diversity in revenue,effective Shannon
2013,NE,6.0149045,Fleet diversity in revenue,effective Shannon
2014,NE,6.2686424,Fleet diversity in revenue,effective Shannon
2015,NE,5.7855363,Fleet diversity in revenue,effective Shannon
2016,NE,6.0425797,Fleet diversity in revenue,effective Shannon
2017,NE,5.842555,Fleet diversity in revenue,effective Shannon
2018,NE,5.3869519,Fleet diversity in revenue,effective Shannon
2019,NE,4.9576764,Fleet diversity in revenue,effective Shannon
2020,NE,5.0495725,Fleet diversity in revenue,effective Shannon
2021,NE,4.7124963,Fleet diversity in revenue,effective Shannon
2022,NE,5.3707428,Fleet diversity in revenue,effective Shannon
2023,NE,6.039618,Fleet diversity in revenue,effective Shannon
2024,NE,6.4278359,Fleet diversity in revenue,effective Shannon
