"","Time","Region","Value","Std_err","Units","Var","Source"
"1982.NE",1982,"NE",15181353.3783885,510918.566164366,"Number of days fished","Recreational Effort","MRIP effort time series."
"1983.NE",1983,"NE",14061238.7576636,492983.56443571,"Number of days fished","Recreational Effort","MRIP effort time series."
"1984.NE",1984,"NE",13634818.6462305,507624.051945866,"Number of days fished","Recreational Effort","MRIP effort time series."
"1985.NE",1985,"NE",14379842.8790615,593286.508423434,"Number of days fished","Recreational Effort","MRIP effort time series."
"1986.NE",1986,"NE",13760054.9172515,633067.390339965,"Number of days fished","Recreational Effort","MRIP effort time series."
"1987.NE",1987,"NE",13230893.537061,574194.133457374,"Number of days fished","Recreational Effort","MRIP effort time series."
"1988.NE",1988,"NE",13650378.5397481,347930.462043716,"Number of days fished","Recreational Effort","MRIP effort time series."
"1989.NE",1989,"NE",13930139.3850635,401410.255417275,"Number of days fished","Recreational Effort","MRIP effort time series."
"1990.NE",1990,"NE",15154682.7973977,453404.139494656,"Number of days fished","Recreational Effort","MRIP effort time series."
"1991.NE",1991,"NE",15286321.072761,492171.831844608,"Number of days fished","Recreational Effort","MRIP effort time series."
"1992.NE",1992,"NE",15325639.6565214,482960.379774035,"Number of days fished","Recreational Effort","MRIP effort time series."
"1993.NE",1993,"NE",15904377.8749315,392627.003899995,"Number of days fished","Recreational Effort","MRIP effort time series."
"1994.NE",1994,"NE",16680992.9884269,417433.566108839,"Number of days fished","Recreational Effort","MRIP effort time series."
"1995.NE",1995,"NE",16848715.1835126,409811.234601801,"Number of days fished","Recreational Effort","MRIP effort time series."
"1996.NE",1996,"NE",17010048.2117674,434168.468758977,"Number of days fished","Recreational Effort","MRIP effort time series."
"1997.NE",1997,"NE",18318244.012998,393971.795638272,"Number of days fished","Recreational Effort","MRIP effort time series."
"1998.NE",1998,"NE",18815325.6921867,410484.228369379,"Number of days fished","Recreational Effort","MRIP effort time series."
"1999.NE",1999,"NE",19623826.8516753,366614.723552517,"Number of days fished","Recreational Effort","MRIP effort time series."
"2000.NE",2000,"NE",20410376.8277787,440121.473213312,"Number of days fished","Recreational Effort","MRIP effort time series."
"2001.NE",2001,"NE",21897117.1227026,437777.942459018,"Number of days fished","Recreational Effort","MRIP effort time series."
"2002.NE",2002,"NE",21998577.158364,492012.726311873,"Number of days fished","Recreational Effort","MRIP effort time series."
