"YEAR","GB","GOM","MAB"
2000,1,1,1
2001,1.2827417380661,0.939663699307616,1.11645813282002
2002,1.45379146919431,0.864628820960699,1.17604912998976
2003,1.17823639774859,0.66802860061287,1.13369467028004
2004,1.18281718281718,0.454194792671167,1.10866013071895
2005,1.07906976744186,0.716394716394717,0.783456624075319
2006,0.949449125081011,0.332236842105263,0.50125
2007,0.731119791666667,0.84455527847049,0.626380011621151
2008,0.414610069101678,0.631939684715559,0.489442567567568
2009,0.579056865464632,0.906832298136646,0.721814543028686
2010,1.05100830367734,1.61791590493601,0.585798816568047
2011,1.08757062146893,1.47925608011445,0.727504786215699
2012,1.24357976653697,1.38709677419355,0.642396907216495
2013,1.14728682170543,1.51798561151079,0.479578392621871
2014,0.725173210161663,0.715608465608466,0.446575342465753
2015,0.742665549036044,0.812080536912752,0.619986850756082
2016,0.902356902356902,1.0556464811784,0.802298850574713
2017,1.06623931623932,0.980839416058394,0.660348749052312
2018,1.12918287937743,1.04533565823888,0.534607778510218
2019,1.08264462809917,0.886852589641434,0.522636484687084
2020,0.886811023622047,1.12953995157385,0.504861630516081
2021,0.831545064377682,1.12458471760797,0.319478908188586
2022,0.487225459435231,0.554474708171206,0.178921568627451
2023,0.618932038834952,0.714909090909091,0.217638691322902
2024,0.691116544417278,0.979865771812081,0.248579545454545
